location_id,name,area,type,latitude,longitude
112,Aristocrat Hotel,East Legon,Landmark,5.6371705,-0.1712367
113,ARS,East Legon,Transport Stop,5.6603606,-0.1513827
114,Asa Auditorium,Legon Area,Landmark,5.6289197,-0.1629681
115,Asandel Garden Center,Legon Area,Landmark,5.6225572,-0.1797584
116,Asandel Garden Centre,Legon Area,Landmark,5.6223387,-0.1800440
117,Asanka Locals,Madina,Restaurant,5.6663836,-0.1630139
118,Asantewa Gardens,Legon Area,Landmark,5.6275785,-0.1669449
119,Aseda Hostel Annex A,Madina,Landmark,5.6696083,-0.1790928
120,Aseda Hostel Annex B,Madina,Hostel,5.6704560,-0.1797634
121,Asore Junction,Haatso,Transport Stop,5.6675987,-0.2136620
122,Assembly Hall,Legon Area,Landmark,5.6278995,-0.2135961
123,Association of African Universities,East Legon,Academic,5.6465676,-0.1702130
124,AT Ghana,Legon Area,Landmark,5.6212310,-0.1736408
125,Athletic Oval,University of Ghana,Landmark,5.6481541,-0.1870423
126,Athletic Oval Basketball Court,University of Ghana,Landmark,5.6483812,-0.1863246
127,Atlantic Mall,Madina,Landmark,5.6681768,-0.1780204
128,ATM Hall,East Legon,Landmark,5.6424260,-0.1521077
129,Atomic First,Madina,Transport Stop,5.6662381,-0.1770577
130,Atomic Junction,Madina,Transport Stop,5.6673058,-0.1779022
131,Atomic Road Pharmacy,Haatso,Health,5.6677355,-0.2077111
132,Atomic Second,Madina,Transport Stop,5.6679806,-0.1766341
133,Aunty Nancy's shop,University of Ghana,Landmark,5.6371777,-0.1842421
134,Ayido,University of Ghana,Transport Stop,5.6407052,-0.1937360
135,Ayido Valley Flat Block A,University of Ghana,Landmark,5.6428935,-0.1907901
136,Ayido Valley Flat Block B,University of Ghana,Landmark,5.6425617,-0.1913941
137,Ayido Valley Flat Block C,University of Ghana,Landmark,5.6422228,-0.1919882
138,Ayido Valley Flat Block D,University of Ghana,Landmark,5.6420799,-0.1930397
139,Ayido Valley Flat Block E,University of Ghana,Landmark,5.6427179,-0.1928224
140,Baba's Special Kebab,University of Ghana,Restaurant Area,5.6421100,-0.1857203
141,Bacchus Garden,University of Ghana,Landmark,5.6506136,-0.1906763
142,Balme Library,University of Ghana,Landmark,5.6511292,-0.1870251
143,Balme Library extension,University of Ghana,Landmark,5.6517815,-0.1877525
144,Balme Library Fountain,University of Ghana,Landmark,5.6510528,-0.1870679
145,Banana Home,Legon Area,Landmark,5.6260391,-0.1537506
146,Bani Hostel,Madina,Hostel,5.6632558,-0.1799969
147,Bank of Africa,East Legon,Service,5.6402974,-0.1665245
148,Banking Square Parking,University of Ghana,Transport Stop,5.6432149,-0.1857055
149,Banku Junction,East Legon,Transport Stop,5.6397726,-0.1691106
150,Baobab Galaxy Tray,Legon Area,Restaurant Area,5.6480552,-0.2113337
151,Barcelos,Legon Area,Restaurant,5.6221233,-0.1733974
152,Barclays,Haatso,Transport Stop,5.6656167,-0.2047198
153,Barita's,Madina,Restaurant,5.6680598,-0.1774548
154,Barrier,Haatso,Transport Stop,5.6621855,-0.2052667
155,Basilissa,Legon Area,Restaurant Area,5.6221629,-0.1735650
156,Bawaleshie Acheampong,East Legon,Transport Stop,5.6429575,-0.1599180
157,Bawaleshie First,East Legon,Transport Stop,5.6418176,-0.1673155
158,Bawaleshie Second,East Legon,Transport Stop,5.6420983,-0.1649440
159,Bawaleshie Traffic Light,East Legon,Transport Stop,5.6416293,-0.1691411
160,Bayview Village,Madina,Landmark,5.6666075,-0.1790187
161,BB'z Bar,Legon Area,Landmark,5.6475373,-0.2106562
162,Bbq Rush,Legon Area,Restaurant Area,5.6297970,-0.1464394
163,BE HAPPY LIMO CAR RENTALS,Haatso,Landmark,5.6642967,-0.2047661
164,Beauty o’clock,Legon Area,Landmark,5.6280295,-0.1721549
165,Beauty Therapy Institute,East Legon,Academic,5.6430986,-0.1536083
166,Beckap,Haatso,Landmark,5.6671743,-0.2048790
167,Bedita,Legon Area,Health,5.6279606,-0.1693977
168,BEIGE Capital,Haatso,Service,5.6676989,-0.2046940
169,Believers Bible Christian Church,East Legon,Landmark,5.6442107,-0.1667411
170,Bello Couture GH - West Lands,Haatso,Landmark,5.6622373,-0.2048943
171,Bemuah Royal Hospital,East Legon,Health,5.6459731,-0.1568956
172,Benab Oil,Legon Area,Landmark,5.6389416,-0.2096093
173,Benalice,Legon Area,Health,5.6715518,-0.1898203
174,Benconi Lodge,Legon Area,Landmark,5.6266257,-0.1469488
175,Bend The Trend,Haatso,Landmark,5.6744887,-0.1911148
176,Benzola Supermarket and Mini Restaurant,University of Ghana,Restaurant,5.6478885,-0.1854412
177,bervels,University of Ghana,Restaurant,5.6366154,-0.1859560
178,Best Buy,East Legon,Market,5.6457781,-0.1695035
179,Bestmont Hotel,East Legon,Landmark,5.6442143,-0.1530435
180,BestPoint Savings and Loan,East Legon,Service,5.6473079,-0.1496822
181,Bevy Bi-Lingual School,East Legon,Academic,5.6451564,-0.1650241
182,beyeden family mosque,East Legon,Landmark,5.6410700,-0.1598360
183,Big J,East Legon,Landmark,5.6467688,-0.1497662
184,Big J Forex Bureau,Legon Area,Landmark,5.6677428,-0.1877072
185,Bin Area,Madina,Landmark,5.6653856,-0.1738980
186,Biotechnology Centre,University of Ghana,Landmark,5.6489761,-0.1836925
187,Bismillah Electricals,East Legon,Landmark,5.6597556,-0.1509026
188,Black Wine,Legon Area,Landmark,5.6284198,-0.1671401
189,Blessed Child Montessori School,Legon Area,Landmark,5.6393478,-0.2127827
190,Block A,Madina,Landmark,5.6630151,-0.1750711
191,Block B,University of Ghana,Hostel,5.6462820,-0.1875393
192,Block C,University of Ghana,Hostel,5.6457208,-0.1875646
193,Block D,Legon Area,Academic,5.6686995,-0.1886308
194,Block E,Madina,Landmark,5.6648103,-0.1758754
195,Block F,University of Ghana,Hostel,5.6462666,-0.1864256
196,Block Factory,Legon Area,Transport Stop,5.6284456,-0.1736704
197,Block G,Madina,Landmark,5.6650667,-0.1743722
198,BlockE,University of Ghana,Hostel,5.6456957,-0.1867608
199,Blue Kiosk,Legon Area,Transport Stop,5.6475399,-0.2104242
200,BlueBells Pre-School International,Haatso,Landmark,5.6671434,-0.2056155
201,Bobby's Pub & Restaurant,Legon Area,Restaurant,5.6283842,-0.1691154
202,Boditel,East Legon,Landmark,5.6431415,-0.1590127
203,Bondaana Group,East Legon,Landmark,5.6359849,-0.1556409
204,Bonjour Haatso,Haatso,Market,5.6680941,-0.2055358
205,Bonsukoda,East Legon,Landmark,5.6605050,-0.1645917
206,Brain Hill International School,Legon Area,Academic,5.6305075,-0.1587760
207,Brainy Bairn School,Legon Area,Academic,5.6546745,-0.2080531
208,Brainy School Junction,Legon Area,Transport Stop,5.6547708,-0.2083344
209,Bread,East Legon,Landmark,5.6461489,-0.1489154
210,Bread Boutique,East Legon,Landmark,5.6595545,-0.1670510
211,Breakfast To Breakfast,Legon Area,Restaurant Area,5.6262807,-0.1535470
212,Brew Energy,East Legon,Landmark,5.6455439,-0.1455001
213,Brewa,East Legon,Transport Stop,5.6423748,-0.1617304
214,Bridge,Legon Area,Transport Stop,5.6451381,-0.2105643
215,Briefcase,East Legon,Landmark,5.6390893,-0.1537674
216,Brigina Lodge & Lounge Bar,East Legon,Landmark,5.6516096,-0.1548003
217,British International School,East Legon,Academic,5.6411399,-0.1516011
218,Britsh Laundry Services,Legon Area,Landmark,5.6293161,-0.1685536
219,Bubble Place,East Legon,Restaurant,5.6412219,-0.1611932
220,Bubune Pharmacy,Legon Area,Health,5.6515134,-0.2092634
221,Bungalow 1,East Legon,Landmark,5.6617042,-0.1743290
222,Bungalow 10,East Legon,Landmark,5.6613243,-0.1728561
223,Bungalow 11,East Legon,Landmark,5.6610465,-0.1731098
224,Bungalow 12,East Legon,Landmark,5.6610265,-0.1735986
225,Bungalow 13,East Legon,Landmark,5.6610047,-0.1743463
226,bungalow 14,East Legon,Landmark,5.6605480,-0.1743069
227,Bungalow 15,East Legon,Landmark,5.6605038,-0.1736257
228,Bungalow 16,East Legon,Landmark,5.6605499,-0.1730459
229,Bungalow 17,East Legon,Landmark,5.6605434,-0.1725454
230,Bungalow 18,East Legon,Landmark,5.6602033,-0.1744239
231,Bungalow 2,East Legon,Landmark,5.6616738,-0.1735698
232,Bungalow 20,Madina,Landmark,5.6633045,-0.1735966
233,Bungalow 22,Madina,Landmark,5.6632405,-0.1726344
234,Bungalow 24,East Legon,Landmark,5.6621917,-0.1716031
235,BUNGALOW 25,East Legon,Landmark,5.6626030,-0.1716155
236,BUNGALOW 26,Madina,Landmark,5.6630712,-0.1715954
237,BUNGALOW 27,Madina,Landmark,5.6635541,-0.1715929
238,BUNGALOW 28,Madina,Landmark,5.6640372,-0.1715956
239,BUNGALOW 29,Madina,Landmark,5.6642047,-0.1710882
240,Bungalow 3,East Legon,Landmark,5.6616990,-0.1731004
241,BUNGALOW 30,Madina,Landmark,5.6637220,-0.1710837
242,BUNGALOW 31,Madina,Landmark,5.6632244,-0.1710699
243,BUNGALOW 32,East Legon,Landmark,5.6627854,-0.1710780
244,BUNGALOW 33,East Legon,Landmark,5.6623196,-0.1710780
245,Bungalow 4,East Legon,Landmark,5.6616923,-0.1726015
246,Bungalow 5,East Legon,Landmark,5.6616910,-0.1720986
247,Bungalow 6,East Legon,Landmark,5.6616857,-0.1716118
248,Bungalow 7,East Legon,Landmark,5.6610344,-0.1715997
249,Bungalow 8,East Legon,Landmark,5.6610438,-0.1721053
250,Bungalow 9,East Legon,Landmark,5.6610374,-0.1725987
251,Burger King,Legon Area,Restaurant Area,5.6259754,-0.1534830
252,Bush Canteen,University of Ghana,Restaurant Area,5.6342961,-0.1844140
253,Bush Kanteen,Legon Area,Restaurant,5.6269365,-0.1679816
254,Business Department,University of Ghana,Landmark,5.6360535,-0.1994570
255,Buzzy Kids Montessori School,East Legon,Academic,5.6468352,-0.1688801
256,Cafe Jackie Dee,East Legon,Restaurant,5.6408715,-0.1580570
257,Cafeteria,Madina,Landmark,5.6625845,-0.1766277
258,Cake Sensations,Legon Area,Landmark,5.6265658,-0.1463251
259,CAL Bank,Haatso,Service,5.6723813,-0.2045345
260,Calabasas Restaurant,Haatso,Restaurant,5.6664751,-0.2043795
261,CalBank,East Legon,Service,5.6383953,-0.1707045
262,California Fitness Est 2029,Legon Area,Landmark,5.6260180,-0.1534748
263,Calvary Baptist Church,Legon Area,Landmark,5.6256691,-0.1741710
264,Calvary Presbyterian Church - Haatso,Haatso,Landmark,5.6691193,-0.2066861
265,Calvary Presbyterian School,Haatso,Academic,5.6686761,-0.2071110
266,Capentary Shop,Haatso,Transport Stop,5.6675550,-0.2118183
267,Capuco Pub,Legon Area,Landmark,5.6395207,-0.2115382
268,Career and councelling dept,University of Ghana,Landmark,5.6494475,-0.1902795
269,Casa Bellini,East Legon,Restaurant Area,5.6593202,-0.1632720
270,Casa Trasacco,Legon Area,Landmark,5.6238076,-0.1708754
271,Cash office,University of Ghana,Landmark,5.6501791,-0.1954248
272,Catters Hostel,Legon Area,Hostel,5.6296903,-0.1732201
273,Cedi Conference Centre,University of Ghana,Landmark,5.6516029,-0.1882722
274,Cemix Limited,Legon Area,Landmark,5.6302389,-0.1454084
275,Center Point Mall,Madina,Landmark,5.6668957,-0.1799503
276,"Central Cafeteria, CC",University of Ghana,Restaurant Area,5.6469687,-0.1870849
277,Centre for Biodiversity Conservation Research,University of Ghana,Academic,5.6542458,-0.1877235
278,"Centre for Climate Change and Sustainability Studies, C3SS",University of Ghana,Academic,5.6565213,-0.1879668
279,Cesia Lodge,Madina,Landmark,5.6691632,-0.1779793
280,Challenge Book Shop,East Legon,Landmark,5.6531554,-0.1683202
281,Chambers Forex Bureau,East Legon,Landmark,5.6412227,-0.1751237
282,Charismatic Evangelistic Ministry(CEM) Rehoboth Temple,Legon Area,Landmark,5.6720261,-0.1879656
283,Charlotte,East Legon,Landmark,5.6362890,-0.1542804
284,Chartered Institute of Bankers (Ghana),East Legon,Academic,5.6440692,-0.1703833
285,Chemistry Department Extension,University of Ghana,Landmark,5.6529204,-0.1856785
286,"Chemistry Department, University of Ghana",University of Ghana,Landmark,5.6520024,-0.1856885
287,Chez Afrique,Legon Area,Restaurant,5.6341743,-0.1713636
288,Chicken Inn,Legon Area,Restaurant Area,5.6222974,-0.1732573
289,Chop Bar,East Legon,Restaurant,5.6393177,-0.1616598
290,Chop Italy,Legon Area,Restaurant,5.6241441,-0.1709448
291,Chowstop,Legon Area,Restaurant Area,5.6535182,-0.2086400
292,Christ Apostolic Church,Haatso,Landmark,5.6734838,-0.2005563
293,Christ the Good Shepherd Church,East Legon,Landmark,5.6421430,-0.1750993
294,Christian Centre,East Legon,Transport Stop,5.6384138,-0.1502392
295,Christian Revival Outreach Church,Legon Area,Landmark,5.6258515,-0.1484391
296,Christian Village,Legon Area,Transport Stop,5.6353879,-0.2146520
297,Christian Village Jucntion,Legon Area,Transport Stop,5.6351546,-0.2149328
298,Christy Ventures,Madina,Landmark,5.6711923,-0.1750540
299,Church of Pentecost,Madina,Landmark,5.6719709,-0.1639660
300,"Church of Pentecost, El-Shaddai Assembly, North Legon",Madina,Landmark,5.6742111,-0.1775030
301,Cirrus Networks,University of Ghana,Landmark,5.6480128,-0.1807026
302,CITA Geakrh,Haatso,Landmark,5.6664108,-0.1962211
303,CitiVeg,University of Ghana,Landmark,5.6496932,-0.1847452
304,City Ceramica,Legon Area,Landmark,5.6282063,-0.1466937
305,City Galleria,Legon Area,Landmark,5.6212533,-0.1726459
306,City Laundry,Legon Area,Landmark,5.6496051,-0.2097899
307,City Lights,Legon Area,Landmark,5.6334671,-0.1499146
308,Citydia,Legon Area,Market,5.6305546,-0.1730084
309,Citydia Supermarket,East Legon,Market,5.6565405,-0.1509057
310,Clarivana,East Legon,Landmark,5.6350421,-0.1494513
311,Clark House,Legon Area,Landmark,5.6279011,-0.2110734
312,CleCal,East Legon,Landmark,5.6414138,-0.1723235
313,Clerk House,East Legon,Academic,5.6629629,-0.1730006
314,Clerk House Common Room,East Legon,Academic,5.6629832,-0.1733439
315,Clinic,Legon Area,Transport Stop,5.6565812,-0.2078341
316,Clinic/ police container,Legon Area,Transport Stop,5.6571738,-0.2077138
317,Codetrain,East Legon,Academic,5.6439987,-0.1543577
318,Coliba Collection Point,East Legon,Landmark,5.6423602,-0.1518325
319,College library building,East Legon,Landmark,5.6584651,-0.1613520
320,"College of Agric and Consumer Science, Legon",University of Ghana,Landmark,5.6501434,-0.1837592
321,college of education,University of Ghana,Landmark,5.6530756,-0.1811297
322,College of Health Sciences,University of Ghana,Academic,5.6370159,-0.1829064
323,Commonwealth Dinning hall,University of Ghana,Restaurant,5.6513099,-0.1925829
324,Commonwealth Hall,University of Ghana,Hostel,5.6508045,-0.1926719
325,Commonwealth Hall Chapel,University of Ghana,Landmark,5.6500788,-0.1926101
326,Commonwealth Hall Library,University of Ghana,Academic,5.6506539,-0.1935633
327,Communication,Legon Area,Transport Stop,5.6542123,-0.2086187
328,communication dept,University of Ghana,Landmark,5.6514484,-0.1809798
329,Compass Oleum,East Legon,Landmark,5.6420435,-0.1638985
330,Compu Ghana,East Legon,Landmark,5.6413284,-0.1523561
331,Computer Lab Building (Accra College of Education),East Legon,Landmark,5.6587781,-0.1608467
332,Computer Science Dept,University of Ghana,Landmark,5.6544410,-0.1837476
333,Conference Centre,East Legon,Landmark,5.6449947,-0.1707842
334,Confusious Institute,University of Ghana,Landmark,5.6490400,-0.1897362
335,Consolidated Bank Ghana,University of Ghana,Service,5.6430552,-0.1856608
336,Contact,Madina,Landmark,5.6693377,-0.1767035
337,Convenant House,Haatso,Landmark,5.6717605,-0.2050522
338,Coral Paint,Legon Area,Landmark,5.6283001,-0.1474413
339,Corner Bakery,East Legon,Landmark,5.6456119,-0.1484749
340,Corner Bar,East Legon,Landmark,5.6406372,-0.1724154
341,Cornerstone Homes,East Legon,Landmark,5.6465422,-0.1573104
342,Cornerstone International School,East Legon,Academic,5.6408578,-0.1615166
343,Cosmopolitan Health,East Legon,Health,5.6445739,-0.1554561
344,Country International School,East Legon,Academic,5.6438101,-0.1504262
345,Country Kids Pre School,East Legon,Landmark,5.6438137,-0.1502675
346,Cozby Enterprise,East Legon,Landmark,5.6424707,-0.1587080
347,Crave Xpress,East Legon,Restaurant,5.6572293,-0.1672482
348,CredAbility Investment and Microfinance Limited,Legon Area,Service,5.6293733,-0.1733576
349,CREDIT UNION,East Legon,Landmark,5.6629606,-0.1757966
350,Crown University College,Legon Area,Academic,5.6208706,-0.1850449
351,Current Forex Bureau,Haatso,Landmark,5.6680739,-0.2058750
352,D. I. E. A. Ventures,East Legon,Landmark,5.6438833,-0.1580850
353,Dance office,University of Ghana,Landmark,5.6494934,-0.1811855
354,Dance practical room,University of Ghana,Landmark,5.6493232,-0.1812096
355,Dance practical venue,University of Ghana,Landmark,5.6488529,-0.1807903
356,Dance washroom and store room,University of Ghana,Landmark,5.6496181,-0.1810701
357,Dar es Salaam Courts,University of Ghana,Hostel,5.6564386,-0.1817767
358,David Andoh Block,University of Ghana,Landmark,5.6354990,-0.2009418
359,Daybreakers,East Legon,Landmark,5.6356618,-0.1542693
360,de Chef,Legon Area,Restaurant,5.6255954,-0.1525323
361,De Randevous,Madina,Landmark,5.6677422,-0.1700710
362,De'lish,East Legon,Restaurant,5.6414108,-0.1735660
363,Decathlon,Legon Area,Landmark,5.6223391,-0.1728086
364,Dejoy,East Legon,Landmark,5.6404605,-0.1658582
365,Del International hospital & fertility centre,East Legon,Landmark,5.6524649,-0.1536391
366,Dellino Forex Bureau,East Legon,Landmark,5.6355552,-0.1722037
367,Dellino Plaza,East Legon,Landmark,5.6353564,-0.1722277
368,Dep't of History,University of Ghana,Landmark,5.6503540,-0.1897013
369,Dep't of Sociology,University of Ghana,Landmark,5.6501002,-0.1901238
370,Department of Agriculture Economics and Agribusiness,University of Ghana,Landmark,5.6496061,-0.1834720
371,Department of Animal Biology and Conservation Science,University of Ghana,Academic,5.6537135,-0.1877829
372,Department of Archaelogy,University of Ghana,Academic,5.6520276,-0.1811788
373,"Department of Economics, University of Ghana",University of Ghana,Landmark,5.6511077,-0.1874111
374,"Department of Family and Consumer Sciences Annex, FCOS",University of Ghana,Academic,5.6528284,-0.1845303
375,"Department of Geography and Resource Development, Legon",University of Ghana,Landmark,5.6509774,-0.1832998
376,Department of Mathematics,University of Ghana,Academic,5.6538762,-0.1844130
377,Department of Nutrition and Food Sciences,University of Ghana,Academic,5.6536336,-0.1887224
378,Department of Physics,University of Ghana,Academic,5.6514369,-0.1860522
379,Department of Plant and Environmental Biology,University of Ghana,Academic,5.6536902,-0.1865526
380,Department of Plant Biology,University of Ghana,Landmark,5.6546422,-0.1834414
381,DerbyNarh’s Beauty Parlour,Legon Area,Landmark,5.6737578,-0.1891914
382,DerbyNarh’s Closet,Legon Area,Landmark,5.6737395,-0.1891486
383,Desert Lion International,Haatso,Landmark,5.6673082,-0.2134085
384,Design & Technology institute,East Legon,Academic,5.6527716,-0.1633452
385,Despite Automobile Museum,East Legon,Landmark,5.6438752,-0.1521340
386,DHL,University of Ghana,Landmark,5.6480878,-0.1790256
387,Diagnostic Centre,Legon Area,Health,5.6317096,-0.1742594
388,Diamed Diagnostical and Treatment Center,University of Ghana,Health,5.6390968,-0.1774079
389,Diana Spot,University of Ghana,Landmark,5.6410103,-0.1761192
390,Diaspora,University of Ghana,Transport Stop,5.6379957,-0.1856489
391,Diddies Pub,East Legon,Landmark,5.6357668,-0.1665056
392,Didi Jollof,University of Ghana,Restaurant Area,5.6402783,-0.1863045
393,Dijas Collection,East Legon,Landmark,5.6596875,-0.1453531
394,Dispensary,East Legon,Landmark,5.6621474,-0.1726411
395,Distance Education Center,University of Ghana,Landmark,5.6510978,-0.1812731
396,DNR Turkish Cafe & Restaurant,Legon Area,Restaurant,5.6337727,-0.1722522
397,Dominguez,Legon Area,Landmark,5.6219081,-0.1731334
398,Dough Man Foods Xcafe,East Legon,Restaurant,5.6464313,-0.1550663
